Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale,File,Length
Duct Wrap,25 mm,400x300-300x300,1.0,0.511 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x300-400x150,1.0,0.483 m²,0.000 m²,"Flat on Right, Left, Bottom",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x350-250x200,1.0,0.471 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x350-250x350,1.0,0.540 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x350-800x150,1.0,0.679 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x400-300x400,1.0,0.632 m²,0.000 m²,"Flat on Top, Bottom, Right",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,450x200-400x200,5.0,2.301 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,450x250-250x250,3.0,1.368 m²,0.000 m²,"Flat on Top, Bottom, Left",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,450x250-300x250,1.0,0.479 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,450x250-350x250,1.0,0.504 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x200-400x200,1.0,0.484 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x250-400x250,3.0,1.668 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x250-800x150,1.0,0.655 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x350-300x350,1.0,0.639 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x400-300x350,1.0,0.679 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x500-400x500,1.0,0.918 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,550x150-400x200,1.0,0.465 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,550x250-500x200,2.0,1.190 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,600x350-550x150,1.0,0.723 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,600x350-650x300,3.0,2.635 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,650x300-500x300,1.0,0.776 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x200-250x200,8.0,3.476 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x200-300x200,8.0,3.964 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x300-500x150,1.0,0.644 m²,0.000 m²,Flat on Top,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x200-350x200,8.0,4.452 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x300-250x250,3.0,1.792 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x300-250x300,1.0,0.700 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x300-400x300,1.0,0.808 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x350-300x350,1.0,0.809 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,550x150-400x200,1.0,0.633 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,600x250-400x200,1.0,0.761 m²,0.000 m²,Flat on Right,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,600x350-400x200,2.0,1.730 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,600x350-550x150,1.0,0.905 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,600x350-650x300,1.0,1.126 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,650x350-400x300,3.0,2.918 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,700x400-550x400,4.0,5.081 m²,0.000 m²,"Flat on Top, Bottom, Right",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,700x450-650x300,1.0,1.314 m²,0.000 m²,Flat on Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,750x500-700x450,1.0,1.613 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x400-550x400,4.0,5.439 m²,0.000 m²,"Flat on Top, Bottom, Right",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x400-700x400,4.0,5.936 m²,0.000 m²,"Flat on Top, Bottom, Right",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,850x200-600x250,1.0,1.045 m²,0.000 m²,Flat on Right,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,900x300-400x350,1.0,1.148 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-500x300,1.0,1.251 m²,0.000 m²,Flat on Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-500x350,3.0,3.854 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-650x350,1.0,1.399 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1330x232-500x250,1.0,1.337 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x300-200x300,2.0,0.120 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x400-200x400,2.0,0.142 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x250-250x250,6.0,0.360 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x400-250x400,3.0,0.229 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x500-250x500,2.0,0.175 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x400-300x400,1.0,0.082 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,750x500-750x500,1.0,0.000 m²,2.209 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x500-750x500,1.0,1.767 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1150x150-400x150-750x150,1.0,2.309 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1150x150-750x150-400x150,1.0,1.644 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,150x800-150x800,2.0,0.000 m²,0.336 m²,,45.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,150x800-150x800,1.0,0.000 m²,0.336 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,300x900-300x900,1.0,0.000 m²,0.848 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x800-350x800,1.0,0.000 m²,0.948 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x850-500x850,1.0,0.000 m²,1.590 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x350-800x350,1.0,0.000 m²,2.168 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x500-800x500,1.0,0.000 m²,2.450 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1150x150-1150x150,5.0,0.740 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x350-800x150,1.0,0.679 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x350-850x200,1.0,1.008 m²,0.000 m²,Flat on Top and Left,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x400-800x350,4.0,4.856 m²,0.000 m²,"Flat on Right, Left, Bottom",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,850x350-300x350,1.0,1.099 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,850x350-650x350,1.0,1.367 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,850x500-800x500,1.0,1.865 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-400x250,1.0,1.131 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-400x300,2.0,2.359 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-400x400,1.0,1.262 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-500x150,1.0,1.106 m²,0.000 m²,Flat on Top,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-500x250,1.0,1.197 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-500x300,2.0,2.479 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-500x350,3.0,3.894 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-350x250-450x150,1.0,1.948 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1162x216-400x300-400x250,1.0,1.921 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,400x1700-400x1700,4.0,0.000 m²,7.917 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1700x400-1700x350,2.0,4.879 m²,0.000 m²,"Flat on Right, Left, Bottom",,,Duct Fitting Schedule Low Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x350-200x350,1.0,0.000 m²,0.259 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,350x200-350x200,1.0,0.000 m²,0.454 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,400x300-200x350,1.0,0.477 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,400x300-350x200,1.0,0.481 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,400x300-386x290,1.0,0.554 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,700x700-700x700,10.0,0.000 m²,23.091 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,700x700-500x950,3.0,5.243 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,700x700-500x950,3.0,6.119 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-700x700,5.0,13.014 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,500x950-500x950,1.0,0.000 m²,1.708 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,800x1200-800x1200,1.0,0.000 m²,3.770 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,950x500-950x500,5.0,0.000 m²,16.228 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1000x1000-1000x1000,3.0,0.000 m²,14.137 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1200x800-1200x800,1.0,0.000 m²,5.655 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-700x700,1.0,2.603 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1000x1000-1200x800,1.0,4.141 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1200x1200-1000x1000,2.0,9.732 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,450x550-450x550,4.0,0.238 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,850x550-850x550,4.0,0.329 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,950x500-500x500-500x500,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,200x350-200x350,2.0,0.000 m²,0.518 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,350x200-350x200,2.0,0.000 m²,0.907 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,450x550-450x550,4.0,0.000 m²,4.241 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x500-500x500,12.0,0.000 m²,14.137 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,450x550,4.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,950x500-500x500,9.0,15.122 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x950-500x950,1.0,0.000 m²,1.708 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,850x550-850x550,4.0,0.000 m²,11.215 m²,,90.00°,0.75,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,500x950-500x950,5.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x1200-800x1200,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1000x1000-1000x1000,1.0,0.000 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,800x500-800x500,16.0,2.367 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,850x550-450x550,4.0,6.578 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,950x500-500x500,1.0,1.680 m²,0.000 m²,Flat on Top and Bottom,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,1700x550-850x550,4.0,13.736 m²,0.000 m²,,,,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,
Duct Wrap,25 mm,250x200,1.0,36.772,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,40.858
Duct Wrap,25 mm,250x250,1.0,42.446,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,42.446
Duct Wrap,25 mm,300x300,1.0,13.509,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,11.258
Duct Wrap,25 mm,350x350,1.0,40.834,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,29.167
Duct Wrap,25 mm,350x650,1.0,6.621,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,3.311
Duct Wrap,25 mm,400x350,1.0,7.709,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,5.139
Duct Wrap,25 mm,450x200,1.0,4.206,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,3.235
Duct Wrap,25 mm,450x250,1.0,4.541,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,3.243
Duct Wrap,25 mm,500x200,1.0,5.109,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,3.649
Duct Wrap,25 mm,650x350,1.0,20.178,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,10.089
Duct Wrap,25 mm,700x350,1.0,75.534,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,35.968
Duct Wrap,25 mm,350x850,1.0,1.756,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,0.732
Duct Wrap,25 mm,800x200,1.0,1.6,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,0.8
Duct Wrap,25 mm,800x350,1.0,16.782,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,7.297
Duct Wrap,25 mm,850x500,1.0,2.727,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,1.01
Duct Wrap,25 mm,900x300,1.0,15.04,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,6.267
Duct Wrap,25 mm,1070x745,1.0,0.545,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,0.15
Duct Wrap,25 mm,1700x400,1.0,3.946,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,0.939
Duct Wrap,25 mm,150x300,1.0,4.734,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,5.26
Duct Wrap,25 mm,200x150,1.0,2.762,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,3.945
Duct Wrap,25 mm,200x200,1.0,10.052,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,12.565
Duct Wrap,25 mm,200x250,1.0,7.401,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,8.223
Duct Wrap,25 mm,200x300,1.0,8.647,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,8.647
Duct Wrap,25 mm,200x400,1.0,2.233,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,1.861
Duct Wrap,25 mm,200x500,1.0,1.347,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.962
Duct Wrap,25 mm,250x200,1.0,45.549,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,50.61
Duct Wrap,25 mm,250x250,1.0,100.18,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,100.18
Duct Wrap,25 mm,250x300,1.0,23.667,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,21.516
Duct Wrap,25 mm,250x350,1.0,1.184,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.987
Duct Wrap,25 mm,300x150,1.0,5.159,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,5.732
Duct Wrap,25 mm,300x200,1.0,33.013,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,33.013
Duct Wrap,25 mm,300x250,1.0,69.524,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,63.203
Duct Wrap,25 mm,300x300,1.0,42.381,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,35.318
Duct Wrap,25 mm,300x350,1.0,27.434,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,21.103
Duct Wrap,25 mm,300x400,1.0,4.158,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,2.97
Duct Wrap,25 mm,350x200,1.0,35.334,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,32.122
Duct Wrap,25 mm,350x250,1.0,9.114,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,7.595
Duct Wrap,25 mm,350x300,1.0,1.566,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,1.205
Duct Wrap,25 mm,350x350,1.0,25.765,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,18.403
Duct Wrap,25 mm,350x700,1.0,10.279,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,4.895
Duct Wrap,25 mm,400x150,1.0,6.706,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,6.097
Duct Wrap,25 mm,400x200,1.0,93.853,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,78.211
Duct Wrap,25 mm,400x250,1.0,54.775,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,42.135
Duct Wrap,25 mm,400x300,1.0,74.824,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,53.446
Duct Wrap,25 mm,400x350,1.0,19.428,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,12.952
Duct Wrap,25 mm,400x400,1.0,8.216,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,5.135
Duct Wrap,25 mm,400x500,1.0,0.536,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.298
Duct Wrap,25 mm,450x150,1.0,1.044,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.87
Duct Wrap,25 mm,450x200,1.0,59.042,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,45.417
Duct Wrap,25 mm,450x250,1.0,56.831,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,40.593
Duct Wrap,25 mm,500x150,1.0,3.16,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,2.431
Duct Wrap,25 mm,500x200,1.0,21.17,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,15.121
Duct Wrap,25 mm,500x250,1.0,40.968,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,27.312
Duct Wrap,25 mm,500x300,1.0,19.391,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,12.119
Duct Wrap,25 mm,500x350,1.0,31.532,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,18.548
Duct Wrap,25 mm,500x400,1.0,57.565,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,31.98
Duct Wrap,25 mm,550x150,1.0,20.379,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,14.556
Duct Wrap,25 mm,550x250,1.0,11.926,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,7.454
Duct Wrap,25 mm,550x400,1.0,70.983,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,37.36
Duct Wrap,25 mm,600x250,1.0,3.8,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,2.235
Duct Wrap,25 mm,600x350,1.0,8.28,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,4.358
Duct Wrap,25 mm,650x300,1.0,16.394,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,8.629
Duct Wrap,25 mm,650x350,1.0,57.409,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,28.705
Duct Wrap,25 mm,700x350,1.0,33.157,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,15.789
Duct Wrap,25 mm,700x400,1.0,33.414,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,15.188
Duct Wrap,25 mm,700x450,1.0,8.287,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,3.603
Duct Wrap,25 mm,750x150,1.0,0.235,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.131
Duct Wrap,25 mm,750x500,1.0,7.758,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,3.103
Duct Wrap,25 mm,800x150,1.0,11.957,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,6.293
Duct Wrap,25 mm,800x350,1.0,30.005,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,13.046
Duct Wrap,25 mm,800x400,1.0,78.432,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,32.68
Duct Wrap,25 mm,800x500,1.0,15.554,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,5.982
Duct Wrap,25 mm,850x200,1.0,23.644,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,11.259
Duct Wrap,25 mm,850x500,1.0,5.645,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,2.091
Duct Wrap,25 mm,900x300,1.0,37.583,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,15.659
Duct Wrap,25 mm,1150x150,1.0,9.613,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,3.697
Duct Wrap,25 mm,1700x400,1.0,119.987,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,28.568
Duct Wrap,25 mm,200x350,1.0,1.318,0.0,,,,Duct Schedule Medium Pressure Insulated Cladded Rect.csv,1.198
