Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale,File,Length
Duct Wrap,25 mm,350x700-350x700,4.0,0.000 m²,3.464 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,450x200-450x200,2.0,0.000 m²,1.378 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,500x200-500x200,1.0,0.000 m²,0.825 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,650x350-650x350,3.0,0.000 m²,4.595 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,700x350-700x350,6.0,0.000 m²,10.391 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,350x350-400x300,4.0,2.280 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,450x250-450x200,1.0,0.519 m²,0.000 m²,Flat on Right and Left,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-250x200,3.0,5.456 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-250x250,4.0,7.376 m²,0.000 m²,,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-300x300,1.0,1.903 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-350x350,1.0,2.017 m²,0.000 m²,Flat on Bottom,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-350x650,1.0,2.191 m²,0.000 m²,Flat on Left,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-450x250,1.0,2.044 m²,0.000 m²,Flat on Bottom,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-500x200,1.0,1.959 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-650x350,2.0,4.380 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,1070x745-700x350,3.0,6.676 m²,0.000 m²,Equal Taper,,,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
Duct Wrap,25 mm,300x900-300x900,1.0,0.000 m²,0.848 m²,,90.00°,0.75,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,
