Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale,File,Length,Size_1,Size_2,Size_3,Size_1_W,Size_1_H,Size_2_W,Size_2_H,Size_3_W,Size_3_H,Min_Width,Min_Height,Max_W_H,Sum_W_H,Category
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x250,1.0,54.775,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,42.135,400x250,,,400,250,,,,,400.0,250.0,400.0,650.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x300,1.0,74.824,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,53.446,400x300,,,400,300,,,,,400.0,300.0,400.0,700.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x350,1.0,19.428,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,12.952,400x350,,,400,350,,,,,400.0,350.0,400.0,750.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x400,1.0,8.216,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,5.135,400x400,,,400,400,,,,,400.0,400.0,400.0,800.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x500,1.0,0.536,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.298,400x500,,,400,500,,,,,400.0,500.0,500.0,900.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,450x150,1.0,1.044,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.87,450x150,,,450,150,,,,,450.0,150.0,450.0,600.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,450x200,1.0,59.042,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,45.417,450x200,,,450,200,,,,,450.0,200.0,450.0,650.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,450x250,1.0,56.831,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,40.593,450x250,,,450,250,,,,,450.0,250.0,450.0,700.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x150,1.0,3.16,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,2.431,500x150,,,500,150,,,,,500.0,150.0,500.0,650.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x200,1.0,21.17,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,15.121,500x200,,,500,200,,,,,500.0,200.0,500.0,700.0,1
