,Family and Type,File,Quantity,Category
56,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.237,1
57,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.474,1
58,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.464,1
59,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.518,1
60,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,4.524,1
61,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.45,1
62,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.66,1
63,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.319,1
64,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.754,1
65,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.545,1
66,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.689,1
67,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.484,1
68,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.766,1
69,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,2.651,1
70,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.942,1
71,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.004,1
72,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,3.181,1
73,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.907,1
74,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.037,1
