,Family and Type,File,Quantity,Category
2,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Schedule Medium Pressure Insulated Rect.csv,16.665,1
3,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Schedule Medium Pressure Insulated Rect.csv,16.424,1
4,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Schedule Medium Pressure Insulated Rect.csv,59.685,1
6,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Schedule Medium Pressure Insulated Rect.csv,1.455,3
7,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Schedule Medium Pressure Insulated Rect.csv,32.801,3
8,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Schedule Medium Pressure Insulated Rect.csv,28.7,3
9,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Schedule Medium Pressure Insulated Rect.csv,1.21,3
10,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Schedule Medium Pressure Insulated Rect.csv,1.81,3
12,Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Schedule Medium Pressure Insulated Rect.csv,19.332,4
