Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale,File,Length,Size_1,Size_2,Size_3,Size_1_W,Size_1_H,Size_2_W,Size_2_H,Size_3_W,Size_3_H,Min_Width,Min_Height,Max_W_H,Sum_W_H,Category
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x350,1.0,1.318,0.0,,,,Duct Schedule Medium Pressure Insulated Cladded Rect.csv,1.198,200x350,,,200,350,,,,,200.0,350.0,350.0,550.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x200,1.0,1.589,0.0,,,,Duct Schedule Medium Pressure Insulated Cladded Rect.csv,1.445,350x200,,,350,200,,,,,350.0,200.0,350.0,550.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x300,1.0,0.161,0.0,,,,Duct Schedule Medium Pressure Insulated Cladded Rect.csv,0.115,400x300,,,400,300,,,,,400.0,300.0,400.0,700.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x700,1.0,40.884,0.0,,,,Duct Schedule Medium Pressure Insulated Cladded Rect.csv,14.601,700x700,,,700,700,,,,,700.0,700.0,700.0,1400.0,2
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,950x500,1.0,0.681,0.0,,,,Duct Schedule Medium Pressure Insulated Cladded Rect.csv,0.235,950x500,,,950,500,,,,,950.0,500.0,950.0,1450.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1000x1000,1.0,8.573,0.0,,,,Duct Schedule Medium Pressure Insulated Cladded Rect.csv,2.143,1000x1000,,,1000,1000,,,,,1000.0,1000.0,1000.0,2000.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1200x800,1.0,9.154,0.0,,,,Duct Schedule Medium Pressure Insulated Cladded Rect.csv,2.288,1200x800,,,1200,800,,,,,1200.0,800.0,1200.0,2000.0,3
